ZD_deg,Etrue_min_TeV,Etrue_max_TeV,Aeff_m2,emig_mu_loc,emig_mu_scale,emig_mu_a,emig_model
6.0,0.011220184543019636,0.014125375446227547,601.8636022004555,2.1416143873932616,0.23758555043599847,,moyal
6.0,0.014125375446227547,0.01778279410038923,1229.8921003382998,1.7960288037431202,0.2188624433856196,,moyal
6.0,0.01778279410038923,0.0223872113856834,2391.6360577355,1.4318091256862098,0.20194091802666045,,moyal
6.0,0.0223872113856834,0.02818382931264455,3886.8925701871162,1.2220059711278857,0.18583359986525078,,moyal
6.0,0.02818382931264455,0.03548133892335755,5221.962832997907,1.0412027798004448,0.17579638320259053,,moyal
6.0,0.03548133892335755,0.04466835921509633,6785.535023650937,0.9145783919288173,0.17295748420269527,,moyal
6.0,0.04466835921509633,0.05623413251903491,9491.647193215018,0.6715237139146365,0.441722687262099,1.9999999999999911,skewnorm
6.0,0.05623413251903491,0.0707945784384138,13231.637162196841,0.6686668205737102,0.42765325970874074,1.9999999999999998,skewnorm
6.0,0.0707945784384138,0.08912509381337459,16841.09849510246,0.6430424073651757,0.43304714105038133,1.7291063553365082,skewnorm
6.0,0.08912509381337459,0.11220184543019636,21247.877896919395,0.9235413936237876,0.29686285173808485,-0.0003604688722291855,skewnorm
6.0,0.11220184543019636,0.14125375446227548,27214.702012542348,0.762158862205991,0.32153813948252724,0.8805451416623801,skewnorm
6.0,0.14125375446227548,0.17782794100389238,30417.867124438242,0.7866083804609031,0.29378826035323297,0.8634935147733573,skewnorm
6.0,0.17782794100389238,0.223872113856834,36680.96920919961,1.1280300221302992,0.29276998577519864,-1.1388125041256871,skewnorm
6.0,0.223872113856834,0.2818382931264455,41943.63176485503,0.80969922456544,0.2552237448878649,1.2629563994863944,skewnorm
6.0,0.2818382931264455,0.35481338923357547,52146.593884762355,0.8186525141647494,0.2456029394426815,1.4930686871419794,skewnorm
6.0,0.35481338923357547,0.44668359215096326,62614.48985238869,0.837853782342887,0.2257322368400467,1.2048265698927283,skewnorm
6.0,0.44668359215096326,0.5623413251903494,67483.29650785784,0.8352802589426394,0.24054882015993603,1.4958118976601982,skewnorm
6.0,0.5623413251903494,0.707945784384138,76941.67865242239,0.8264223819488132,0.22616353173889342,1.395257366218998,skewnorm
6.0,0.707945784384138,0.8912509381337459,88424.93981088648,0.8114273128889187,0.24488329260201955,1.9999999999990314,skewnorm
6.0,0.8912509381337459,1.1220184543019636,82451.00444782853,0.8377273903261895,0.22621715029817144,1.5901410902279516,skewnorm
6.0,1.1220184543019636,1.4125375446227548,91587.93946528672,0.8772816746913944,0.17731376751164787,1.0124588057373753,skewnorm
6.0,1.4125375446227548,1.7782794100389236,96634.37931229484,0.8575923119747371,0.19497171247089962,1.3613234131267542,skewnorm
