ZD_deg,Etrue_min_TeV,Etrue_max_TeV,Aeff_m2,emig_mu_loc,emig_mu_scale,emig_mu_a,emig_model
6.0,0.011220184543019636,0.014125375446227547,1857.9267720101018,2.1274856783497613,0.26131298420369603,,moyal
6.0,0.014125375446227547,0.01778279410038923,3806.8088819994987,1.7520223108737538,0.24344766700522993,,moyal
6.0,0.01778279410038923,0.0223872113856834,7147.259201440771,1.4383113947449457,0.2125539533767747,,moyal
6.0,0.0223872113856834,0.02818382931264455,11498.240409120694,1.2201479704198464,0.19368082063219103,,moyal
6.0,0.02818382931264455,0.03548133892335755,17528.266852020948,1.0461833764696975,0.18615801365655982,,moyal
6.0,0.03548133892335755,0.04466835921509633,24926.267546229934,0.9382498912667445,0.18798165113063858,,moyal
6.0,0.04466835921509633,0.05623413251903491,34042.602921030935,0.855972826635985,0.18818435294548144,,moyal
6.0,0.05623413251903491,0.0707945784384138,45538.39882364001,0.7959899748134717,0.19027471464771684,,moyal
6.0,0.0707945784384138,0.08912509381337459,59017.226425647714,0.6294864312941103,0.4909973655898151,1.9999999999999998,skewnorm
6.0,0.08912509381337459,0.11220184543019636,75799.49484531462,0.6149882969547472,0.5002991384185688,1.9999999999999998,skewnorm
6.0,0.11220184543019636,0.14125375446227548,96879.68707883665,0.6384814466513199,0.46323026947425533,1.9999999999999634,skewnorm
6.0,0.14125375446227548,0.17782794100389238,116510.31414811904,0.6663412075379233,0.4094472665687403,1.7577258961990063,skewnorm
6.0,0.17782794100389238,0.223872113856834,136816.3286207458,0.9413099457161127,0.26944692882896015,3.479851717739268e-05,skewnorm
6.0,0.223872113856834,0.2818382931264455,158260.34226075315,0.7041141397081735,0.3616335923558678,1.7260348738428462,skewnorm
6.0,0.2818382931264455,0.35481338923357547,180541.1485758159,0.7332637730651687,0.33959718999122795,1.5727524191763416,skewnorm
6.0,0.35481338923357547,0.44668359215096326,210645.80947404183,0.7523584969141519,0.3152603453216642,1.3473443983039544,skewnorm
