# from https://forge.in2p3.fr/issues/33587
# pix_id  cluster_i  cluster_j  pix_id_in_cluster
 319        -4         -2              3
 320        -4         -2              4
 321        -4         -2              5
 322        -4          0              2
 323        -4          0              4
 324        -4          0              7
 325        -4          2              3
 326        -4          2              6
 327        -3          3              1
 328        -3          3              5
 329        -3          5              2
 330        -3          5              4
 331        -3          7              2
 332        -3          7              3
 333        -2          6              5
 334        -2          6              7
 335        -1          7              1
 336        -1          7              4
 337        -1          7              6
 338         0          8              2
 339         0          8              3
 340         1          7              5
 341         1          7              7
 342         2          8              1
 343         2          8              2
 344         2          6              7
 345         2          6              6
 346         3          5              5
 347         3          5              4
 348         3          5              3
 349         4          4              1
 350         4          4              2
 351         4          2              7
 352         4          2              6
 353         5          1              5
 354         5          1              1
 355         4          0              6
 356         4          0              3
 357         4         -2              7
 358         4         -2              4
 359         4         -2              2
 360         4         -4              5
 361         4         -4              1
 362         3         -5              6
 363         3         -5              3
 364         3         -7              7
 365         3         -7              5
 366         2         -6              3
 367         2         -6              2
 368         1         -7              6
 369         1         -7              4
 370         1         -7              1
 371         0         -8              7
 372         0         -8              5
 373        -1         -7              3
 374        -1         -7              2
 375        -2         -8              6
 376        -2         -8              7
 377        -2         -6              2
 378        -2         -6              1
 379        -3         -5              3
 380        -3         -5              4
 381        -3         -5              5
 382        -4         -4              6
 383        -4         -4              7
 384        -4         -2              2
 385        -4         -2              1
 386        -5         -1              3
 387        -5         -1              6
 388        -4          0              1
 389        -4          0              5
 390        -4          2              2
 391        -4          2              4
 392        -4          2              7
 393        -4          4              3
 394        -4          4              6
 395        -3          5              1
 396        -3          5              5
 397        -3          7              1
 398        -3          7              4
 399        -3          7              6
 400        -2          8              2
 401        -2          8              3
 402        -1          7              5
 403        -1          7              7
 404         0          8              1
 405         0          8              4
 406         0          8              6
 407         1          9              2
 408         1          9              3
 409         2          8              5
 410         2          8              4
 411         2          8              3
 412         3          7              1
 413         3          7              2
 414         3          5              7
 415         3          5              6
 416         4          4              5
 417         4          4              4
 418         4          4              3
 419         5          3              1
 420         5          3              2
 421         5          1              7
 422         5          1              4
 423         5          1              2
 424         5         -1              5
 425         5         -1              1
 426         4         -2              6
 427         4         -2              3
 428         4         -4              7
 429         4         -4              4
 430         4         -4              2
 431         4         -6              5
 432         4         -6              1
 433         3         -7              6
 434         3         -7              4
 435         3         -7              1
 436         2         -8              7
 437         2         -8              5
 438         1         -7              3
 439         1         -7              2
 440         0         -8              6
 441         0         -8              4
 442         0         -8              1
 443        -1         -9              7
 444        -1         -9              5
 445        -2         -8              3
 446        -2         -8              4
 447        -2         -8              5
 448        -3         -7              6
 449        -3         -7              7
 450        -3         -5              2
 451        -3         -5              1
 452        -4         -4              3
 453        -4         -4              4
 454        -4         -4              5
 455        -5         -3              6
 456        -5         -3              7
 457        -5         -1              2
 458        -5         -1              4
 459        -5         -1              7
 460        -5          1              3
 461        -5          1              6
 462        -4          2              1
 463        -4          2              5
 464        -4          4              2
 465        -4          4              4
 466        -4          4              7
 467        -4          6              3
 468        -4          6              6
 469        -4          8              3
 470        -3          7              5
 471        -3          7              7
 472        -2          8              1
 473        -2          8              4
 474        -2          8              6
 475        -1          9              2
 476        -1          9              3
