# from https://forge.in2p3.fr/issues/33587
# pix_id  cluster_i  cluster_j  pix_id_in_cluster
1383        -7          9              6
1384        -6         10              1
1385        -6         10              5
1386        -6         12              2
1387        -6         12              5
1388        -6         12              7
1389        -5         13              1
1390        -5         13              4
1391        -5         13              6
1392        -4         14              2
1393        -4         14              3
1394        -3         13              5
1395        -3         13              7
1396        -2         14              1
1397        -2         14              4
1398        -2         14              6
1399        -1         15              2
1400        -1         15              3
1401         0         14              5
1402         0         14              7
1403         1         15              1
1404         1         15              4
1405         1         15              6
1406         2         16              2
1407         2         16              3
1408         3         15              5
1409         3         15              7
1410         3         15              6
1411         4         14              5
1412         4         14              4
1413         4         14              3
1414         5         13              1
1415         5         13              2
1416         5         11              7
1417         5         11              6
1418         6         10              5
1419         6         10              4
1420         6         10              3
1421         7          9              1
1422         7          9              2
1423         7          7              7
1424         7          7              6
1425         8          6              5
1426         8          6              4
1427         8          6              3
1428         9          5              1
1429         9          5              2
1430         9          3              7
1431         9          3              6
1432         9          3              3
1433         9          1              7
1434         9          1              4
1435         9          1              2
1436         9         -1              5
1437         9         -1              1
1438         8         -2              6
1439         8         -2              3
1440         8         -4              7
1441         8         -4              4
1442         8         -4              2
1443         8         -6              5
1444         8         -6              1
1445         7         -7              6
1446         7         -7              3
1447         7         -9              7
1448         7         -9              4
1449         7         -9              2
1450         7        -11              5
1451         7        -11              1
1452         6        -12              6
1453         6        -12              3
1454         6        -12              2
1455         5        -13              6
1456         5        -13              4
1457         5        -13              1
1458         4        -14              7
1459         4        -14              5
1460         3        -13              3
1461         3        -13              2
1462         2        -14              6
1463         2        -14              4
1464         2        -14              1
1465         1        -15              7
1466         1        -15              5
1467         0        -14              3
1468         0        -14              2
1469        -1        -15              6
1470        -1        -15              4
1471        -1        -15              1
1472        -2        -16              7
1473        -2        -16              5
1474        -3        -15              3
1475        -3        -15              2
1476        -3        -15              1
1477        -4        -14              3
1478        -4        -14              4
1479        -4        -14              5
1480        -5        -13              6
1481        -5        -13              7
1482        -5        -11              2
1483        -5        -11              1
1484        -6        -10              3
1485        -6        -10              4
1486        -6        -10              5
1487        -7         -9              6
1488        -7         -9              7
1489        -7         -7              2
1490        -7         -7              1
1491        -8         -6              3
1492        -8         -6              4
1493        -8         -6              5
1494        -9         -5              6
1495        -9         -5              7
1496        -9         -3              2
1497        -9         -3              1
1498        -9         -3              5
1499        -9         -1              2
1500        -9         -1              4
1501        -9         -1              7
1502        -9          1              3
1503        -9          1              6
1504        -8          2              1
1505        -8          2              5
1506        -8          4              2
1507        -8          4              4
1508        -8          4              7
1509        -8          6              3
1510        -8          6              6
1511        -7          7              1
1512        -7          7              5
1513        -7          9              2
1514        -7          9              4
1515        -7          9              7
1516        -7         11              3
1517        -7         11              6
1518        -6         12              1
1519        -5         13              5
1520        -5         13              7
1521        -4         14              1
1522        -4         14              4
1523        -4         14              6
1524        -3         15              2
1525        -3         15              3
1526        -2         14              5
1527        -2         14              7
1528        -1         15              1
1529        -1         15              4
1530        -1         15              6
1531         0         16              2
1532         0         16              3
1533         1         15              5
1534         1         15              7
1535         2         16              1
1536         2         16              4
1537         2         16              6
1538         4         14              7
1539         4         14              6
1540         5         13              5
1541         5         13              4
1542         5         13              3
1543         6         12              1
1544         6         12              2
1545         6         10              7
1546         6         10              6
1547         7          9              5
1548         7          9              4
1549         7          9              3
1550         8          8              1
1551         8          8              2
1552         8          6              7
1553         8          6              6
1554         9          5              5
1555         9          5              4
1556         9          5              3
1557         9          1              6
1558         9          1              3
1559         9         -1              7
1560         9         -1              4
1561         9         -1              2
1562         9         -3              5
1563         9         -3              1
1564         8         -4              6
1565         8         -4              3
1566         8         -6              7
1567         8         -6              4
1568         8         -6              2
1569         8         -8              5
1570         8         -8              1
1571         7         -9              6
1572         7         -9              3
1573         7        -11              7
1574         7        -11              4
1575         7        -11              2
1576         5        -13              3
1577         5        -13              2
1578         4        -14              6
1579         4        -14              4
1580         4        -14              1
1581         3        -15              7
1582         3        -15              5
1583         2        -14              3
1584         2        -14              2
1585         1        -15              6
1586         1        -15              4
1587         1        -15              1
1588         0        -16              7
1589         0        -16              5
1590        -1        -15              3
1591        -1        -15              2
1592        -2        -16              6
1593        -2        -16              4
1594        -2        -16              1
1595        -4        -14              2
1596        -4        -14              1
1597        -5        -13              3
1598        -5        -13              4
1599        -5        -13              5
1600        -6        -12              6
1601        -6        -12              7
1602        -6        -10              2
1603        -6        -10              1
1604        -7         -9              3
1605        -7         -9              4
1606        -7         -9              5
1607        -8         -8              6
1608        -8         -8              7
1609        -8         -6              2
1610        -8         -6              1
1611        -9         -5              3
1612        -9         -5              4
1613        -9         -5              5
1614        -9         -1              1
1615        -9         -1              5
1616        -9          1              2
1617        -9          1              4
1618        -9          1              7
1619        -9          3              3
1620        -9          3              6
1621        -8          4              1
1622        -8          4              5
1623        -8          6              2
1624        -8          6              4
1625        -8          6              7
1626        -8          8              3
1627        -8          8              6
1628        -7          9              1
1629        -7          9              5
1630        -7         11              2
1631        -7         11              4
1632        -7         11              7
1633        -4         14              5
1634        -4         14              7
1635        -3         15              1
1636        -3         15              4
1637        -3         15              6
1638        -2         16              2
1639        -2         16              3
1640        -1         15              5
1641        -1         15              7
1642         0         16              1
1643         0         16              4
1644         0         16              6
1645         1         17              2
1646         1         17              3
1647         2         16              5
1648         2         16              7
1649         5         13              7
1650         5         13              6
1651         6         12              5
1652         6         12              4
1653         6         12              3
1654         7         11              1
1655         7         11              2
1656         7          9              7
1657         7          9              6
1658         8          8              5
1659         8          8              4
1660         8          8              3
1661         9          7              1
1662         9          7              2
1663         9          5              7
1664         9          5              6
1665         9         -1              6
1666         9         -1              3
1667         9         -3              7
1668         9         -3              4
1669         9         -3              2
1670         9         -5              5
1671         9         -5              1
1672         8         -6              6
1673         8         -6              3
1674         8         -8              7
1675         8         -8              4
1676         8         -8              2
1677         8        -10              5
1678         8        -10              1
1679         7        -11              6
1680         7        -11              3
1681         4        -14              3
1682         4        -14              2
1683         3        -15              6
1684         3        -15              4
1685         3        -15              1
1686         2        -16              7
1687         2        -16              5
1688         1        -15              3
1689         1        -15              2
1690         0        -16              6
1691         0        -16              4
1692         0        -16              1
1693        -1        -17              7
1694        -1        -17              5
1695        -2        -16              3
1696        -2        -16              2
1697        -5        -13              2
1698        -5        -13              1
1699        -6        -12              3
1700        -6        -12              4
1701        -6        -12              5
1702        -7        -11              6
1703        -7        -11              7
1704        -7         -9              2
1705        -7         -9              1
1706        -8         -8              3
1707        -8         -8              4
1708        -8         -8              5
1709        -9         -7              6
1710        -9         -7              7
1711        -9         -5              2
1712        -9         -5              1
1713        -9          1              1
1714        -9          1              5
1715        -9          3              2
1716        -9          3              4
1717        -9          3              7
1718        -9          5              3
1719        -9          5              6
1720        -8          6              1
1721        -8          6              5
1722        -8          8              2
1723        -8          8              4
1724        -8          8              7
1725        -8         10              3
1726        -8         10              6
1727        -7         11              1
1728        -7         11              5
1729        -3         15              5
1730        -3         15              7
1731        -2         16              1
1732        -2         16              4
1733        -2         16              6
1734        -1         17              2
1735        -1         17              3
1736         0         16              5
1737         0         16              7
1738         1         17              1
1739         1         17              4
1740         1         17              6
1741         6         12              7
1742         6         12              6
1743         7         11              5
1744         7         11              4
1745         7         11              3
1746         8         10              1
1747         8         10              2
1748         8          8              7
1749         8          8              6
1750         9          7              5
1751         9          7              4
1752         9          7              3
1753         9         -3              6
1754         9         -3              3
1755         9         -5              7
1756         9         -5              4
1757         9         -5              2
1758         9         -7              5
1759         9         -7              1
1760         8         -8              6
1761         8         -8              3
1762         8        -10              7
1763         8        -10              4
1764         8        -10              2
1765         3        -15              3
1766         3        -15              2
1767         2        -16              6
1768         2        -16              4
1769         2        -16              1
1770         1        -17              7
1771         1        -17              5
1772         0        -16              3
1773         0        -16              2
1774        -1        -17              6
1775        -1        -17              4
1776        -1        -17              1
1777        -6        -12              2
1778        -6        -12              1
1779        -7        -11              3
1780        -7        -11              4
1781        -7        -11              5
1782        -8        -10              6
1783        -8        -10              7
1784        -8         -8              2
1785        -8         -8              1
1786        -9         -7              3
1787        -9         -7              4
1788        -9         -7              5
1789        -9          3              1
1790        -9          3              5
1791        -9          5              2
1792        -9          5              4
1793        -9          5              7
1794        -9          7              3
1795        -9          7              6
1796        -8          8              1
1797        -8          8              5
1798        -8         10              2
1799        -8         10              4
1800        -8         10              7
1801        -2         16              5
1802        -2         16              7
1803        -1         17              1
1804        -1         17              4
1805        -1         17              6
1806         1         17              5
1807         1         17              7
1808         7         11              7
1809         7         11              6
1810         8         10              5
1811         8         10              4
1812         8         10              3
1813         9          7              7
1814         9          7              6
1815         9         -5              6
1816         9         -5              3
1817         9         -7              7
1818         9         -7              4
1819         9         -7              2
1820         8        -10              6
1821         8        -10              3
1822         2        -16              3
1823         2        -16              2
1824         1        -17              6
1825         1        -17              4
1826         1        -17              1
1827        -1        -17              3
1828        -1        -17              2
1829        -7        -11              2
1830        -7        -11              1
1831        -8        -10              3
1832        -8        -10              4
1833        -8        -10              5
1834        -9         -7              2
1835        -9         -7              1
1836        -9          5              1
1837        -9          5              5
1838        -9          7              2
1839        -9          7              4
1840        -9          7              7
1841        -8         10              1
1842        -8         10              5
1843        -1         17              5
1844        -1         17              7
1845         8         10              7
1846         8         10              6
1847         9         -7              6
1848         9         -7              3
1849         1        -17              3
1850         1        -17              2
1851        -8        -10              2
1852        -8        -10              1
1853        -9          7              1
1854        -9          7              5
